staff_id,staff_firstname,staff_mi,staff_lastname,staff_position,staff_phone_number,staff_email,blood_bank_id
170,Dario,I,Jorgensen,clinical lab scientist,205-619-9954,djorgensen0@vkontakte.ru,14
171,Chrisse,J,Mallalieu,technician,137-931-8137,cmallalieu1@home.pl,12
172,Silvana,K,Hethron,phlebotomist,635-936-7324,shethron4@mayoclinic.com,13
173,Tessy,A,Geram,lab technologist,349-236-7074,tgerame@dmoz.org,14
174,Milicent,N,Baert,phlebotomist,129-281-9987,mbaertg@geocities.com,14
175,Lorelei,A,Matissoff,phlebotomist,891-265-2544,lmatissoff18@topsy.com,13
176,Georgianne,A,McGeffen,technician,740-354-9702,gmcgeffen17@dmoz.org,12
177,Shandee,B,Whines,phlebotomist,196-944-3066,swhines16@oakley.com,14
178,Florette,Y,Vayne,phlebotomist,132-986-8689,fvayne15@nymag.com,12
179,Harris,O,Stracey,medical director,786-744-6316,hstracey14@gnu.org,13
180,Gizela,F,Selland,medical director,110-697-5973,gselland13@cornell.edu,14
181,Clayson,A,Letch,lab technologist,393-903-2598,cletch12@fotki.com,13
182,Celinda,P,Greenhead,phlebotomist,886-854-2369,cgreenhead10@samsung.com,14
183,Katya,E,Clues,medical director,987-430-2814,kcluesd@pcworld.com,12
